dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
5.5 x 4.8 x 2.3 inches,3.2 ounces,http://www.amazon.com/GE-9003-NHS-BP2-Replacement/dp/B00KV8U20O,$24.51,45,Lights & Lighting Accessories,Automotive,811,"GE 9003 NHS/BP2 Nighthawk Sport Replacement Bulb, (Pack of 2)"
5.7 x 4.2 x 1.2 inches,1.4 pounds,http://www.amazon.com/Erickson-06845-Black-Industrial-Bungey/dp/B000W3RU9Y,$9.58,78,Hardware,Tools & Home Improvement,478,"Erickson 06845 Black 36"" Industrial Bungey Cord, (Pack of 4)"
5.5 x 3.1 x 1.8 inches,1.6 ounces,http://www.amazon.com/Motorcycle-Aviator-Goggles-Driving-Mirrored/dp/B003Z4BBSI,$9.95,104,Motorcycle & Powersports,Automotive,400,Red Baron Motorcycle / Aviator Goggles Black Padded Frame w/ Driving Mirrored Lens
3 x 3 x 0.4 inches,0.8 ounces,http://www.amazon.com/1998-2009-Keyless-Remote-Programming-Instructions/dp/B006CRT72W,$5.40,770,Replacement Parts,Automotive,390,1998-2009 Ford F150 F250 F350 Keyless Entry Remote w/ Free DIY Programming Instructions
6 x 4 x 8 inches,1.3 pounds,http://www.amazon.com/Paper-Mate-Ballpoint-1781564-Assorted/dp/B004U9TEEA,$3.39,"1,315",Office & School Supplies,Office Products,18,"Paper Mate InkJoy Ballpoint Pen 1781564, Assorted Colors, 8-Pack"
2 x 5 x 7 inches,0.3 ounces,http://www.amazon.com/Command-Large-Plastic-Hooks-3-Hook/dp/B000M3V8XI,$6.30,441,Storage & Organization,Home & Kitchen,28,"Command Large Plastic Hooks Value Pack, 3-Hook"
1.7 x 3.9 x 6.4 inches,1.8 ounces,http://www.amazon.com/Command-17067-VP-Wire-Hooks-9-Hook/dp/B000OEJARG,$5.99,577,Storage & Organization,Home & Kitchen,27,"Command Wire Hooks, 9-Hook"
4.4 x 2.3 x 4.8 inches,3.2 ounces,http://www.amazon.com/Epson-T200520-DURABrite-Standard-Capacity-Multipack/dp/B0080ML180,$24.39,"2,138",Office & School Supplies,Office Products,,Epson T200520 DURABrite Ultra Standard-Capacity Color Multipack Ink Cartridge
8.5 x 8 x 5.7 inches,2.8 pounds,http://www.amazon.com/X-Acto-School-Heavy-Duty-Electric-Sharpener/dp/B00006IEI4,$29.63,724,Office & School Supplies,Office Products,67,X-Acto School Pro Heavy-Duty Electric Sharpener (1670)
7.1 x 4.1 x 0.9 inches,5.6 ounces,http://www.amazon.com/Texas-Instruments-TI-30X-Scientific-Calculator/dp/B001CBPXG2,$10.99,"1,519",Office Electronics,Office Products,,"Texas Instruments TI-30X IIS 2-Line Scientific Calculator, Pink"
