dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
9 x 5 x 2 inches,9.6 ounces,http://www.amazon.com/RoadPro-RP-203EC-Extension-Cigarette-Lighter/dp/B000Z0HVHA,$8.72,"1,038",Accessories,Cell Phones & Accessories,20,RoadPro RP-203EC 12V 12' Extension Cord with Cigarette Lighter Plug
2 x 4 x 9 inches,1 pounds,http://www.amazon.com/Meguiars-G17216-Ultimate-Compound-15-2/dp/B001O7PNNM,$9.76,609,Car Care,Automotive,26,Meguiar's G17216 Ultimate Compound - 15.2 oz.
4.9 x 1.6 x 3.2 inches,0.3 ounces,http://www.amazon.com/Lansinoh-Lanolin-Breastfeeding-Mothers-Grams/dp/B005MI648C,$6.39,"1,102",Feeding,Baby Products,100,"Lansinoh HPA Lanolin for Breastfeeding Mothers, 40 Grams"
19.7 x 17.4 x 2.6 inches,14.4 ounces,http://www.amazon.com/Oven-Element-CH44T10011-WB44T10011-Watts/dp/B0081E9PBM,$16.95,36,Parts & Accessories,Appliances,100,GE Oven Bake Element CH44T10011 WB44T10011 3410 Watts
5.9 x 5.6 x 3.3 inches,4.8 ounces,http://www.amazon.com/WHT-DRYER-VENT-WIDE-MOUTH/dp/B00314WY0G,$9.03,57,Parts & Accessories,Appliances,99,"4"" WHT DRYER VENT WIDE MOUTH"
5.5 x 6.8 x 7.2 inches,4.2 pounds,http://www.amazon.com/Cascade-Complete-Actionpacs-Dishwasher-Detergent/dp/B00C72BY9U,$16.68,"1,174",Household Supplies,Health & Personal Care,81,"Cascade Complete All-in-1 Actionpacs Dishwasher Detergent, Fresh Scent, 80 Count"
10.5 x 3.6 x 0.9 inches,3 ounces,http://www.amazon.com/Lisle-35260-Plastic-Fastener-Remover/dp/B0002SRCMO,$10.46,521,Power & Hand Tools,Tools & Home Improvement,100,Lisle 35260 Plastic Fastener Remover
20.9 x 20.7 x 32.7 inches,57.8 pounds,http://www.amazon.com/Danby-Designer-DCR044A2BDD-Refrigerator-4-4-Cubic/dp/B00MO6V9CQ,$167.95,938,Refrigerators,Appliances,99,"Danby Designer DCR044A2BDD Compact Refrigerator, 4.4-Cubic Feet, Black"
5 x 3 x 10 inches,1.6 pounds,http://www.amazon.com/Meguiars-G18216-Ultimate-Liquid-Wax/dp/B004HCM9H4,$15.81,387,Car Care,Automotive,97,Meguiar's G18216 Ultimate Liquid Wax - 16 oz.
16 x 10 x 3.3 inches,8 pounds,http://www.amazon.com/Stanley-94-248-65-Piece-Homeowners-Tool/dp/B000UHMITE,$39.95,842,Power & Hand Tools,Tools & Home Improvement,106,Stanley 94-248 65-Piece Homeowner's Tool Kit
,3.2 ounces,http://www.amazon.com/Cuisinart-Machine-Replacement-Charcoal-Filters/dp/B00DCO8FE4,$8.35,219,Kitchen & Dining,Home & Kitchen,100,Cuisinart Coffee Machine 12 Pack Replacement Charcoal Water Filters
,,http://www.amazon.com/J5-Tactical-V1-Pro-Flashlight-Original/dp/B00V7T1YRQ,$12.95,446,Power & Hand Tools,Tools & Home Improvement,,J5 Tactical V1-PRO Flashlight
1 x 14.2 x 18.6 inches,5 pounds,http://www.amazon.com/K-4694-0-Ridgewood-Molded-Wood-Color-Matched-Elongated/dp/B000UNU3H2,$14.75,632,Kitchen & Bath Fixtures,Tools & Home Improvement,113,"KOHLER K-4694-0 Ridgewood Molded-Wood with Color-Matched Plastic Hinges Elongated Toilet Seat, White"
18.9 x 2.6 x 2 inches,8.8 ounces,http://www.amazon.com/Victorinox-Fibrox-8-Inch-47520-5-2063-20/dp/B000638D32,$35.99,"3,360",Kitchen & Dining,Home & Kitchen,99,"Victorinox Fibrox 8-Inch Chef's Knife 40520, 47520, 45520, 5.2063.20"
7.2 x 1.8 x 1 inches,0.8 ounces,http://www.amazon.com/Stanley-66-344-4-in-1-Pocket-Screwdriver/dp/B0014KMDZ0,$3.99,"1,476",Power & Hand Tools,Tools & Home Improvement,80,Stanley 66-344 4-in-1 Pocket Screwdriver
1 x 4 x 7 inches,0.3 ounces,http://www.amazon.com/Loctite-1365882-20-Gram-Bottle-Professional/dp/B004Y960MU,$5.69,362,"Tapes, Adhesives & Sealants",Industrial & Scientific,79,Loctite 1365882 20-Gram Bottle Liquid Professional Super Glue
,1 pounds,http://www.amazon.com/SPRI-Deluxe-Vinyl-Dumbbells-Set/dp/B008DSK9B6,$8.98,599,Sports & Fitness,Sports & Outdoors,80,SPRI Deluxe Vinyl Dumbbells (Set of 2)
,3.2 ounces,http://www.amazon.com/action-Floats-Exercise-Hippity-bouncer/dp/B00147OVDA,$6.50,174,Sports & Fitness,Sports & Outdoors,79,"2 way action Hand AIR PUMP For Pool Floats, Exercise Balls, Rody or Hippity Hop bouncer hopper balls"
,8 ounces,http://www.amazon.com/VIPERTEK-VTS-989-Heavy-Rechargeable-Flashlight/dp/B00FPE6UN2,$15.99,"1,497",Sports & Fitness,Sports & Outdoors,77,"VIPERTEK VTS-989 - 38,000,000 V Heavy Duty Stun Gun - Rechargeable with LED Flashlight"
7.2 x 5.1 x 2.1 inches,1 pounds,http://www.amazon.com/Aqua-Sphere-Kayenne-Goggle/dp/B00V6T3FKQ,$24.99,"2,103",Sports & Fitness,Sports & Outdoors,78,Aqua Sphere Kayenne Goggle
