dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
13.8 x 4.5 x 8.8 inches,5.4 pounds,http://www.amazon.com/Clorox-Disinfecting-Wipes-Scented-Packaging/dp/B00HSC9F2C,$9.97,635,Household Supplies,Health & Personal Care,20,"Clorox Disinfecting Wipes Value Pack, Scented, 225 Count (Packaging May Vary)"
6 x 5 x 4 inches,9.6 ounces,http://www.amazon.com/Rainbow-Light-Prenatal-Multivitamin-150-Count/dp/B00115BJ30,$22.88,"1,640",Vitamins & Dietary Supplements,Health & Personal Care,80,"Rainbow Light Prenatal One  Multivitamin, 150-Count Bottle"
7.4 x 5.4 x 5.4 inches,3.2 pounds,http://www.amazon.com/Charlies-Soap-Laundry-Powder-2-64/dp/B00AM16MZO,$12.79,"2,101",Household Supplies,Health & Personal Care,79,"Charlie's Soap ""Laundry Powder"" 2.64 lbs (FFP)"
3 x 3 x 3 inches,0.3 ounces,http://www.amazon.com/Purple-Stylus-Universal-Screen-Capacitive/dp/B0075XYS4E,$1.86,"1,770",Computers & Accessories,Electronics,100,"10 Pack of Pink, Blue, Purple, Red, Black Stylus Universal Touch Screen Capacitive Pen for Kindle Touch iPad 2, Iphone 4,4S,"
2.1 x 2.1 x 3.7 inches,1.6 ounces,http://www.amazon.com/Doctors-Best-Absorption-Coq10-BioPerine/dp/B0019GW3G8,$16.59,"1,067",Vitamins & Dietary Supplements,Health & Personal Care,100,"Doctor's Best High Absorption Coq10 w/ BioPerine (100 mg), 120 Soft gels"
,13 ounces,http://www.amazon.com/NeuTab-N10-Plus-Bluetooth-Pre-installed/dp/B00ZB5T65O,$99.99,222,Computers & Accessories,Electronics,99,NeuTab N10 Plus 10.1 Inch Octa Core Tablet PC Google Android 5.1 Lollipop System 1GB RAM 16GB Nand Flash Bluetooth 4.0 HD Dual Camera HDMI Output Google Play Pre-installed 3D Game Supported Slim Design Black (Back to School Limited Time Offer)
3.5 x 2.2 x 1 inches,12.8 ounces,http://www.amazon.com/Anker-PowerPort-Charging-Multi-Port-Charger/dp/B00VH8ZW02,$15.00,469,Computers & Accessories,Electronics,99,"Anker PowerPort 5 (40W 5-Port USB Charging Hub) Multi-Port USB Charger for iPhone 6s / 6 / 6 Plus, iPad Air 2 / mini 3, Galaxy S6 / Edge / Plus, Note 5 and More (Black)"
1.1 x 10.3 x 6.5 inches,6.4 ounces,http://www.amazon.com/Cricut-Tools-Craft-Basic-Set/dp/B00EZUCUUE,$17.45,232,Crafting,"Arts, Crafts & Sewing",100,Cricut Tools Craft Basic Set
,2.4 ounces,http://www.amazon.com/Sellstrom-Advantage-Indirect-Economy-Protective/dp/B00CA8KQMC,$3.34,29,Safety & Security,Tools & Home Improvement,100,"Sellstrom 81200 PVC Advantage Indirect White Vent Economy Protective Goggle, Green Tinted Body/Clear Lens"
,1.3 pounds,http://www.amazon.com/Apple-MC769LL-Tablet-Black-Generation/dp/B0013FRNKG,$309.00,"3,957",Computers & Accessories,Electronics,100,"Apple iPad 2 MC769LL/A Tablet ( iOS 7,16GB, WiFi) Black 2nd Generation"
