,dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name,xs,l,w,h,lbs
72,4.8 x 4.8 x 1.2 inches,4 ounces,http://www.amazon.com/Kershaw-3650-Folding-Knife-SpeedSafe/dp/B003LNP9Y0,16.93,230.0,Sports & Fitness,Sports & Outdoors,2706.0,Kershaw 3650 Volt II Folding Knife with SpeedSafe,2,4.8,4.8,1.2,0.25
269,15 x 15 x 11 inches,1 pounds,http://www.amazon.com/Coleman-16-Quart-Personal-Wheeled-Cooler/dp/B002V9ZWU6,19.92,179.0,Outdoor Recreation,Sports & Outdoors,2872.0,Coleman 16-Quart Personal Wheeled Cooler,2,15,15,11,1.0
424,3.5 x 3.5 x 4.5 inches,7 ounces,http://www.amazon.com/TOAKS-POT-750-Titanium-750ml-Pot/dp/B009B98FGW,34.95,115.0,Outdoor Recreation,Sports & Outdoors,9460.0,TOAKS Titanium 750ml Pot,2,3.5,3.5,4.5,0.4375
427,7.1 x 1 x 0.5 inches,0.3 ounces,http://www.amazon.com/TOAKS-Titanium-3-Piece-Cutlery-Set/dp/B0098FEUXQ,19.95,145.0,Outdoor Recreation,Sports & Outdoors,8264.0,TOAKS Titanium 3-Piece Cutlery Set,2,7.1,1,0.5,0.01875
446,6.2 x 4 x 8.5 inches,9.6 ounces,http://www.amazon.com/Survive-Outdoors-Longer-Breathable-Respirant/dp/B00EZEPCB4,37.26,211.0,Outdoor Recreation,Sports & Outdoors,6718.0,"Survive Outdoors Longer Escape Bivvy Breathable Respirant, OD Green, 0.593 Pound",2,6.2,4,8.5,0.6
449,3.5 x 3.1 x 3.1 inches,4 ounces,http://www.amazon.com/TOAKS-CUP-450-Titanium-450ml-Cup/dp/B008NOYQ6E,19.95,254.0,Outdoor Recreation,Sports & Outdoors,1869.0,TOAKS Titanium 450ml Cup,2,3.5,3.1,3.1,0.25
481,15.8 x 2 x 15.8 inches,4 ounces,http://www.amazon.com/Freedom-Flask/dp/B006WV1HV2,24.95,74.0,Outdoor Recreation,Sports & Outdoors,8456.0,Freedom Flask,2,15.8,2,15.8,0.25
482,9 x 6 x 2 inches,8 ounces,http://www.amazon.com/Stanley-Adventure-Stainless-Steel-Flask/dp/B00RZRKDK8,16.99,105.0,Kitchen & Dining,Home & Kitchen,7061.0,Stanley Adventure Stainless Steel Flask,2,9,6,2,0.5
563,0.8 x 5.5 x 9.5 inches,0.8 ounces,http://www.amazon.com/Gerber-31-000594-Swagger-Partially-Serrated/dp/B004WBL5PW,16.39,157.0,Sports & Fitness,Sports & Outdoors,1532.0,Gerber 31-000594 Swagger  Drop Point Knife  Partially Serrated Edge,2,0.8,5.5,9.5,0.05
570,4.7 x 1.4 x 1.3 inches,4 ounces,http://www.amazon.com/Kershaw-8750TTANBW-Shuffle-Folding-BlackWash/dp/B00TAD2P8S,19.95,35.0,Sports & Fitness,Sports & Outdoors,1903.0,"Kershaw 8750TTANBW Shuffle II Folding Knife with Tanto Blade and BlackWash Finish, Tan",2,4.7,1.4,1.3,0.25
597,3.1 x 2 x 1.3 inches,0.3 ounces,http://www.amazon.com/Leatherman-831488-Style-PS-Multi-Tool/dp/B0058RX9NU,23.4,407.0,Power & Hand Tools,Tools & Home Improvement,1225.0,Leatherman 831488 Style PS Multi-Tool,2,3.1,2,1.3,0.01875
